,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37
3SPYRSPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006208933334385322,0.0,0.0,0.0028,0.0019615131333429953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41R1H2MAE12BOOX,1.2000000000005062e-05,0.00011200000000000012,1.0000000000001327e-05,0.0,3.300000000000004e-05,4.099999999999937e-05,3.999999999998796e-06,0.00014499999999999932,0.0001850000000000012,4.000000000003133e-06,1.2000000000001593e-05,4.699999999999843e-05,2.599999999999825e-05,3.5999999999999574e-05,2.399999999999625e-05,7.999999999999327e-06,8.999999999999894e-06,3.6000000000000014e-05,0.0,2.5999999999999968e-05,0.0,0.0,2.099999999999997e-05,2.9999999999999645e-05,1.199999999999899e-05,0.0,9.000000000003798e-06,1.4000000000000125e-05,6.099999999999856e-05,2.000000000000005e-05,4.400000000000064e-05,1.0999999999999724e-05,4.399999999999977e-05,5.4000000000000235e-05,3.4999999999999875e-05,5.1999999999999956e-05,0.0,1.8000000000000007e-05
41R2A1H12BOOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ABUTtcn,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
4ABUTtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015699999994467362,0.0,0.0002976225753172912,0.0,0.0,0.0,0.0,0.0,0.0,0.00013599999999769352,0.0,0.0,0.0
4HBZCOAFm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HBZFm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HOXPACDOX_NADP_,0.0003,0.000185,9.999999999999755e-06,0.000184,0.000242,8.6e-05,4.000000000000734e-06,0.000261,0.00015326619067820502,0.000125,0.000189,0.000412,0.000164,0.000309,0.004381160000000053,0.000185,0.000109,0.000103,0.0003079999999999958,0.000227,4.8e-05,3e-05,0.00021600000000000005,0.000233,3.7e-05,0.000171,8.999999999999609e-06,1.400000000000032e-05,0.000165,0.000199,7.099999999999999e-05,0.000217,0.000237,8.1e-05,0.000278,7.8e-05,0.000121,1.8000000000000007e-05
4HPROLTASCT1,7.899999999999749e-05,0.00015699999999999742,0.00014700000000000043,0.00010000000000000026,0.00011299999999999983,0.000103,7.400000000000093e-05,0.00016399999999999838,9.999999999999984e-05,0.000196,6.499999999999995e-05,0.00015100000000000053,9.500000000000003e-05,7.500000000000128e-05,0.00018899999999999999,4.7999999999999e-05,0.00012299999999999982,9.999999999999984e-05,9.29999999999989e-05,0.00013699999999999994,0.00013399999999999957,6.299999999999882e-05,0.00015199999999999936,0.0001349999999999997,0.00015000000000000083,8.999999999999979e-05,5.999999999999929e-05,0.00013799999999999923,7.500000000000041e-05,7.299999999999668e-05,8.400000000000074e-05,0.00013300000000000117,0.00012299999999999808,0.00011200000000000012,0.00017100000000000014,0.00012099999999999958,4.9999999999999704e-05,0.00011699999999999905
4MOPt2im,,0.000766,0.0006909999999999996,,0.0008160000000000001,,,0.0006380000000000001,0.0009050000000000001,0.001214,0.000778,,,0.000616,,0.0,0.000713,0.00038,,0.0010439999999999998,0.000131,,0.000149,,,,0.000869,0.000248,0.000459,0.000251,,0.000109,0.000553,,0.000279,,0.000244,
4MOPte,0.0,,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,,0.0
4MPTNLte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
